fields,                                 types,    optional
type,                                   string,0
num,                                    double,0
dot,                                    string,0
scaf1,                                  string,0
pos1,int32,0
dir1,                                   double,0
scaf2,                                  string,0
pos2,int32,0
dir2,                                   double,0
zero,                                   double,0
alignment_overlap,                      double,1
circular_chromosome,                    double,1
coverage_minus,                         double,1
coverage_plus,                          double,1
flanking_left,int32,1
flanking_right,int32,1
frequency,                              double,1
junction_possible_overlap_registers,    double,1
key,                                    string,1
max_left,                               double,1
max_left_minus,                         double,1
max_left_plus,                          double,1
max_min_left,                           double,1
max_min_left_minus,                     double,1
max_min_left_plus,                      double,1
max_min_right,                          double,1
max_min_right_minus,                    double,1
max_min_right_plus,                     double,1
max_pos_hash_score,                     double,1
max_right,                              double,1
max_right_minus,                        double,1
max_right_plus,                         double,1
neg_log10_pos_hash_p_value,             double,1
new_junction_coverage,                  double,1
new_junction_read_count,                double,1
polymorphism_frequency,                 double,1
pos_hash_score,                         double,1
prediction,                             string,1
reject,                                 string,1
side_1_annotate_key,                    string,1
side_1_continuation,                    double,1
side_1_coverage,                        double,1
side_1_overlap,                         double,1
side_1_possible_overlap_registers,      double,1
side_1_read_count,                      double,1
side_1_redundant,                       double,1
side_2_annotate_key,                    string,1
side_2_continuation,                    double,1
side_2_coverage,                        double,1
side_2_overlap,                         double,1
side_2_possible_overlap_registers,      double,1
side_2_read_count,                      double,1
side_2_redundant,                       double,1
total_non_overlap_reads,                double,1
unique_read_sequence,                   string,1
read_count_offset,double,1
