run_id,row_index,iso_name,anc_name,ref_name,exit_code,start_time,end_time,duration_sec,output_dir,error
SRR14585608,2,SRR14585608,SRR14585636,U00096,0,2026-02-07T01:17:33.587024,2026-02-07T01:17:37.609884,4,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR1297160,1,SRR1297160,SRR1297056,U00096,0,2026-02-07T01:17:33.586115,2026-02-07T01:17:38.275717,4,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR16702843,3,SRR16702843,SRR16702796,U00096,0,2026-02-07T01:17:37.609959,2026-02-07T01:17:43.620920,6,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR12459836,4,SRR12459836,SRR5395827,U00096,0,2026-02-07T01:17:38.275784,2026-02-07T01:17:56.064372,17,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR23196577,6,SRR23196577,SRR23196934,CP009273,0,2026-02-07T01:17:56.064417,2026-02-07T01:20:30.664101,154,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR13494181,7,SRR13494181,SRR13606223,U00096,0,2026-02-07T01:20:30.664167,2026-02-07T01:21:16.988597,46,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR27137524,8,SRR27137524,SRR5395827,U00096,0,2026-02-07T01:21:16.988663,2026-02-07T01:21:40.719130,23,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR1297117,9,SRR1297117,SRR1297056,U00096,0,2026-02-07T01:21:40.719214,2026-02-07T01:22:17.024215,36,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR1297109,5,SRR1297109,SRR1297056,U00096,0,2026-02-07T01:17:43.620990,2026-02-07T01:22:48.483270,304,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR25783813,10,SRR25783813,SRR25783811,CP009273,0,2026-02-07T01:22:17.024270,2026-02-07T01:25:32.264306,195,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR1297006,11,SRR1297006,SRR1297056,U00096,0,2026-02-07T01:22:48.483326,2026-02-07T01:25:42.840572,174,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR25783890,12,SRR25783890,SRR25783827,CP009273,0,2026-02-07T01:25:32.264362,2026-02-07T01:26:14.588703,42,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR25783944,13,SRR25783944,SRR25783829,CP009273,0,2026-02-07T01:25:42.840627,2026-02-07T01:28:12.964456,150,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR21726411,14,SRR21726411,SRR21726456,U00096,0,2026-02-07T01:26:14.588761,2026-02-07T01:29:01.804118,167,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
